Incident ID,Stolen,Type,index
1484443, Unknown, Unknown,0.0
1484134, Unknown, 22 LR,0.0
1482830, Unknown, Unknown,0.0
1481348, Unknown, Unknown,0.0
1480396, Unknown, 9mm,0.0
1480986, Unknown, Unknown,0.0
1480421, Unknown, Unknown,0.0
1479009, Unknown, Unknown,0.0
1478029, Unknown, Handgun,0.0
1478801, Unknown, Unknown,0.0
1477534, Unknown, Unknown,0.0
1476853, Unknown, Unknown,0.0
1476903, Unknown, Unknown,0.0
1476622, Unknown, Unknown,0.0
1475879, Unknown, Unknown,0.0
1477115, Unknown, Unknown,0.0
1473603, Unknown, Unknown,0.0
1472711, Unknown, Unknown,0.0
1474063, Unknown, Rifle,0.0
1468996, Unknown, Unknown,0.0
1466705, Unknown, 7.62 [AK-47],0.0
1468333, Unknown, Unknown,0.0
1466139, Unknown, Unknown,0.0
1466783, Unknown, Unknown,0.0
1466619, Unknown, Unknown,0.0
1467157, Unknown, Unknown,0.0
1465943, Unknown, Unknown,0.0
1465500, Unknown, Unknown,0.0
1466098, Unknown, Handgun,0.0
1466414, Unknown, Unknown,0.0
1462222, Unknown, Unknown,0.0
1461124, Unknown, Unknown,0.0
1460984, Unknown, Unknown,0.0
1460073, Unknown, Unknown,0.0
1465606, Unknown, Unknown,0.0
1458438, Unknown, Unknown,0.0
1458844, Unknown, Unknown,0.0
1458243, Unknown, Unknown,0.0
1456233, Unknown, Unknown,0.0
1457620, Unknown, Unknown,0.0
1459303, Unknown, Unknown,0.0
1458082, Unknown, Unknown,0.0
1490371, Unknown, Unknown,0.0
1455042, Unknown, Unknown,0.0
1458791, Unknown, 12 gauge,0.0
1455449, Unknown, Unknown,0.0
1454324, Unknown, Unknown,0.0
1453789, Unknown, Unknown,0.0
1452927, Unknown, Unknown,0.0
1452826, Unknown, Unknown,0.0
1451409, Stolen, 45 Auto,0.0
1480001, Unknown, Unknown,0.0
1450791, Unknown, Unknown,0.0
1450902, Unknown, Rifle,0.0
1449434, Unknown, Unknown,0.0
1448217, Unknown, Unknown,0.0
1446941, Unknown, Unknown,0.0
1446431, Unknown, Handgun,0.0
1447070, Unknown, Unknown,0.0
1445174, Unknown, Unknown,0.0
1443639, Unknown, Unknown,0.0
1441642, Unknown, Unknown,0.0
1440265, Unknown, Unknown,0.0
1439208, Unknown, Unknown,0.0
1439489, Unknown, Unknown,0.0
1439723, Unknown, Unknown,0.0
1443335, Unknown, 9mm,0.0
1441980, Unknown, 45 Auto,0.0
1438703, Unknown, Unknown,0.0
1438998, Unknown, Unknown,0.0
1438133, Unknown, Unknown,0.0
1436811, Unknown, 380 Auto,0.0
1436805, Unknown, Unknown,0.0
1436964, Unknown, Unknown,0.0
1436286, Unknown, Unknown,0.0
1435408, Unknown, Unknown,0.0
